epoch,train_mse,val_mse,train_mae,val_mae
1.0,0.00041943564618755454,5.2297716138127726e-05,0.013393763493260612,0.0053103466052562
2.0,1.6017666142864112e-05,2.5447725874983007e-05,0.003030373218833752,0.0036273496807552874
3.0,4.384912096571972e-06,1.902718940982595e-05,0.0015877505976949697,0.003140910470392555
4.0,2.3176345443378366e-06,1.6520115877938224e-05,0.0011509715316250272,0.002884094894398004
5.0,1.6680741944820392e-06,1.4644370594396605e-05,0.0009677652041832714,0.002708994084969163
6.0,1.3124482917271012e-06,1.4005182720211451e-05,0.0008573668335726404,0.002614183642435819
7.0,1.056267866834273e-06,1.316638713433349e-05,0.0007693314717313194,0.0025609174044802785
8.0,8.713609877699839e-07,1.2311394357311656e-05,0.0006991121462424812,0.002474553941283375
9.0,7.385319335022043e-07,1.1897058357135393e-05,0.0006433334631804863,0.0024171873810701072
10.0,6.37890151289827e-07,1.140451422543265e-05,0.0005967686808182169,0.0023680138401687145
11.0,5.509723722673737e-07,1.087444707081886e-05,0.0005561440813598101,0.0023040451924316585
12.0,4.921259198414666e-07,1.0783095603983384e-05,0.0005237798247000445,0.0022779983119107783
13.0,4.303466102120855e-07,1.0440121059218654e-05,0.0004875049129148702,0.0022413564729504287
14.0,3.8917157434812194e-07,1.0609659511828795e-05,0.00046254672191065293,0.00225006474647671
15.0,3.624999168471771e-07,1.0582188679109095e-05,0.000446335232877375,0.0022598850773647428
16.0,3.46827514032038e-07,1.0352527169743553e-05,0.00042779932340161633,0.0022211865289136767
17.0,3.1430599155219563e-07,1.0283030633218004e-05,0.00040781682827914864,0.002215045504271984
18.0,2.853704299725549e-07,1.0108238029715721e-05,0.0003950360279186102,0.0021849730401299894
19.0,2.519646617725891e-07,1.009980337585148e-05,0.00037132780467483985,0.002189437916968018
20.0,2.3532020065886172e-07,9.927175597113091e-06,0.00035811046710359335,0.0021749974112026393
21.0,2.203966734332821e-07,1.0067708217320614e-05,0.000347619156262068,0.0021855945815332234
22.0,2.0194361846516468e-07,9.96010840026429e-06,0.0003331650615386341,0.002167953527532518
23.0,1.8840859678201252e-07,9.799930921872146e-06,0.00032224214089143533,0.0021513255778700113
24.0,1.7918305386304026e-07,9.96271705844265e-06,0.00031294450214456606,0.0021621829946525395
25.0,1.7424661381403933e-07,1.0017011845775414e-05,0.0003080731434950038,0.00218253763159737
26.0,1.6461426911439997e-07,9.99109602162207e-06,0.00029819270940092594,0.0021759189548902214
27.0,3.7433981031861785e-07,9.951088941306807e-06,0.0003684468544594458,0.0021599308238364756
28.0,1.7702357299838142e-07,9.684002861831686e-06,0.00029882087129289687,0.0021340533858165145
29.0,1.9295889948669198e-07,1.0135487627849216e-05,0.0002973909267102895,0.002189268940128386
30.0,1.8134173737517695e-07,9.81648986453365e-06,0.000288035867371313,0.0021465859608724713
