dim,name,mean,std,p1,p5,p25,p50,p75,p95,p99
0,dx,4.837719643546734e-06,0.0007375360582955182,-0.0016240422846749425,-0.001119567546993494,-0.0004567864816635847,-2.663544364622794e-05,0.000482419301988557,0.0012361429398879409,0.0019191824831068516
1,dy,0.0002538367407396436,0.0011115160305052996,-0.002633945783600211,-0.0020829730201512575,-0.000372514157788828,0.00045391087769530714,0.0010182862170040607,0.0018135728314518929,0.002402236917987466
2,g_close_indicator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
